id,productor_clima,fecha,descargado_en,temp_max_c,temp_min_c,temp_avg_c,lluvia_mm,prob_lluvia_pct,et0_mm,rad_solar_mjm2,hum_avg_pct,viento_max_kmh
1,Jose Gregorio Balza,2026-03-20,2026-03-20 14:45:56.720885+00,35.2,24.8,30,0,0,7.11,25.43,49,24.4
2,Jose Gregorio Balza,2026-03-21,2026-03-20 14:45:56.720885+00,36.2,25.1,30.4,0,0,7.77,26.32,44,24.4
3,Jose Gregorio Balza,2026-03-22,2026-03-20 14:45:56.720885+00,36.5,24.8,30.6,0,0,7.91,24.32,42,23.4
4,Jose Gregorio Balza,2026-03-23,2026-03-20 14:45:56.720885+00,36.7,24.4,30.6,0,0,8.81,27.07,38,20.8
5,Jose Gregorio Balza,2026-03-24,2026-03-20 14:45:56.720885+00,37,24.7,30.7,0,0,8.28,26.16,43,24.8
6,Jose Gregorio Balza,2026-03-25,2026-03-20 14:45:56.720885+00,37.1,25.5,31.1,0,1,7.96,25.11,49,26
7,Jose Gregorio Balza,2026-03-26,2026-03-20 14:45:56.720885+00,37.2,26.1,31.2,0,3,8.18,25.19,49,25.1
8,Jose Gregorio Balza,2026-03-27,2026-03-20 14:45:56.720885+00,35.3,25.8,30.2,0,10,6.92,20.91,49,21.6
9,Jose Gregorio Balza,2026-03-28,2026-03-20 14:45:56.720885+00,36.8,26,30.9,0,23,7.02,21.43,48,18.4
10,Jose Gregorio Balza,2026-03-29,2026-03-20 14:45:56.720885+00,35.5,25.5,30.2,0,16,6.63,19.59,49,19.4
11,Jose Gregorio Balza,2026-03-30,2026-03-20 14:45:56.720885+00,36.8,25.4,30.5,0,13,7.2,21.93,46,18.6
12,Jose Gregorio Balza,2026-03-31,2026-03-20 14:45:56.720885+00,33.8,25.5,29.7,0,10,5.62,17.44,49,16.8
13,Jose Gregorio Balza,2026-04-01,2026-03-20 14:45:56.720885+00,34.6,23.6,29.4,0,11,5.53,18.14,50,16.5
14,Jose Gregorio Balza,2026-04-02,2026-03-20 14:45:56.720885+00,34.3,23.8,29.6,0,19,5.06,18.6,50,15.3
