station_id,codigo,zona
212695,P10,Occidente
235225,P15,Occidente
238383,G12,Oriente
238407,G13,Oriente
213617,G06,Oriente
235347,P17,Occidente
236176,P19,Occidente
238339,G10,Oriente
237976,Y05,Occidente
235263,B01,Occidente
238350,G11,Oriente
238308,G09,Oriente
212516,P06,Occidente
235418,P18,Occidente
238060,Y06,Occidente
241484,G14,Oriente
235597,Y04,Occidente
212609,P08,Occidente
186669,G02,Oriente
213735,G05,Oriente
186730,G04,Oriente
235240,P16,Occidente
235420,Y03,Occidente
238570,Y07,Occidente
235411,Y02,Occidente
185450,G01,Oriente
184921,P01,Occidente
