producto_registro_id,actividad_plan_v,producto_id,costo_real,costo_recomendado,dosis_real_ha,dosis_recomendada_v,dosis_total_v,ha_aplicadas,precio_unitario,nombre_producto,categoria_producto,ciclo_cosecha,fecha_registro,unidad_produccion,lote_v,ciclo
000b648d,25fd1034,8a4ab665,323.96,194.38,0.2,0.12,5.2,26,62.3,Eminente 45 WG,Agroquímicos,2025,2025-07-13 00:00:00+00,G03,L08 EL DESQUITE B,2025
001e8a84,30e230ee,cc210393,15.36,17.92,0.2,0.2,1.2,6,12.8,CatheClean,Agroquímicos,2025,2025-05-27 00:00:00+00,C01,PERLA LOTE 2A,2025
001ebc3e,64267964,cc210393,45.12,78.08,0.15,0.2,3.53,23.5,12.8,CatheClean,Agroquímicos,2025,2025-08-20 00:00:00+00,P03,L14 LOTE LAS 60 A LOTE,2025
0031c0aa,77b7d847,aa72374c,562.9,757.75,2.5,2.5,65,26,8.66,Pendialfa 50 EC,Agroquímicos,2025,2025-07-01 00:00:00+00,P03,L06 LOS CACHICAMOS,2025
0038c925,8ad79958,3072d084,237.27,431.4,1.5,1.5,16.5,11,14.38,Gadriano 30 OD,Agroquímicos,2025,2025-05-31 00:00:00+00,G01,L12 LOTE EL MANGO B,2025
003971d5,4e5f1d3c,f886ec2d,84.79,84.79,0.5,0.5,15.5,31,5.47,"SoloPasto 30,41SL (plicorán+2,4D)",Agroquímicos,2025,2025-06-11 00:00:00+00,G03,L11 LOTE LA TRINCHERA C,2025
00637d2f,5b713d1f,de256ae0,623,623,2,2,70,35,8.9,QuelaTech Micros,Fertilizantes,2025,2025-07-30 00:00:00+00,P03,L06 LOS CACHICAMOS,2025
007f0f9c,a0081c8f,bdac1da2,1045.8,0,0.7,0,5.81,8.3,180,Cal dolomítica,Enmienda,2025,2025-05-14 00:00:00+00,G07,L01 LOTE SAMANCITO,2025
007f9e25,fc828cf3,3072d084,668.67,668.67,1.5,1.5,46.5,31,14.38,Gadriano 30 OD,Agroquímicos,2025,2025-07-03 00:00:00+00,P03,L05 LAS 50A,2025
008e0fd0,eaaf8875,b6a9d42e,364,3822,1.3,1.3,2.6,2,140,Maíz: Danac-029 c/fortenza duo,Semillas,2025,2025-05-13 00:00:00+00,C01,PERLA LOTE 01,2025
00d9cf96,92c090c0,73a629e4,97.23,194.46,0.5,1,4.65,9.3,20.91,Jupiter 25 EC (piraclostrobina),Agroquímicos,2025,2025-06-05 00:00:00+00,G01,L04 LOTE EL DRAGAL 2B,2025
00fda2a9,72dd5ac0,b46d6dc9,10366.4,9070.6,8,7,248,31,41.8,"4,28N-18,52P-17,12K/5,51S+6,1MgO+0,68B+2,28Zn",Fertilizantes,2025,2025-06-18 00:00:00+00,P03,L05 LAS 50A,2025
01024e6b,03c6c3f3,b275b7cf,955.36,2802.8,4,5.5,34.12,8.53,28,"25,46N-00P-21,81K/3,66S",Fertilizantes,2025,2025-07-06 00:00:00+00,P09,L15 LOTE SANTACRUZ II-LOTE 6B,2025
011fc476,3fd2c428,c1d751bb,24.3,362.88,0.1,0.2,0.3,3,81,Bacillus Thuringiensis,Agroquímicos,2025,2025-06-05 00:00:00+00,P09,L14 LOTE SANTACRUZ II-LOTE 6A,2025
01366f64,ba69dc59,c8ffca92,13.33,13.33,0.05,0.05,1.67,33.33,8,Trampa de feromonas,Agroquímicos,2025,2025-07-02 00:00:00+00,G03,L10 LOTE LA TRINCHERA B,2025
0138ca9c,13577b79,73a629e4,150.55,301.1,0.5,1,7.2,14.4,20.91,Jupiter 25 EC (piraclostrobina),Agroquímicos,2025,2025-06-25 00:00:00+00,P11,L07 LOTE-08,2025
014a2d2f,ef50587d,50ea012e,209.44,594,2,3,47.6,23.8,4.4,Alfasato 48 SL (glifosato),Agroquímicos,2025,2025-06-20 00:00:00+00,G02,L03 LOTE IGUANITAS,2025
015bd138,b8cdac90,3072d084,379.63,379.63,1.5,1.5,26.4,17.6,14.38,Gadriano 30 OD,Agroquímicos,2025,2025-07-31 00:00:00+00,G01,L11 LOTE EL DRAGAL 4-1,2025
015bfd47,c80d14f1,cc210393,122.5,81.66,0.3,0.2,9.57,31.9,12.8,CatheClean,Agroquímicos,2025,2025-05-14 00:00:00+00,P09,L05 LOTE SANTACRUZ I-LOTE 5,2025
0169b19c,56ec70b4,b46d6dc9,2926,2926,7,7,70,10,41.8,"4,28N-18,52P-17,12K/5,51S+6,1MgO+0,68B+2,28Zn",Fertilizantes,2025,2025-05-23 00:00:00+00,G01,L09 LOTE EL DRAGAL 3B,2025
01758ded,08e4458c,bdac1da2,1008,0,0.7,0,5.6,8,180,Cal dolomítica,Enmienda,2025,2025-05-14 00:00:00+00,G07,L02 LOTE VICTORIERO 1A,2025
01758fbd,961a3693,73a629e4,234.19,468.38,0.5,1,11.2,22.4,20.91,Jupiter 25 EC (piraclostrobina),Agroquímicos,2025,2025-06-22 00:00:00+00,P03,L08 LOTE L2B,2025
019449c4,2b8679fe,8a4ab665,291.56,174.94,0.2,0.12,4.68,23.4,62.3,Eminente 45 WG,Agroquímicos,2025,2025-08-11 00:00:00+00,G03,L05 CASA DE TABLA ARRIBA A,2025
019916ac,534cf2b4,3072d084,431.4,619.06,2,1.5,30,15,14.38,Gadriano 30 OD,Agroquímicos,2025,2025-08-12 00:00:00+00,G05,L09 LOTE RAMIREZ B,2025
019b6163,3749cdf7,2a279588,194.07,194.07,0.06,0.06,1.09,18.1,178.7,MyCossed,Agroquímicos,2025,2025-05-27 00:00:00+00,P11,L02 LOTE 5B,2025
01a26a53,eb6027a2,de6596dc,40.19,58.06,0.045,0.065,0.91,20.3,44,Grafito,Semillas,2025,2025-05-24 00:00:00+00,G04,L08 LOTE C,2025
01e45cd3,b224fed3,aa72374c,746.93,746.93,2.5,2.5,86.25,34.5,8.66,Pendialfa 50 EC,Agroquímicos,2025,2025-05-30 00:00:00+00,P08,L01 LOTE-01,2025
01eeeb0c,3e8d0f52,e1ff11f4,0,0,0,1,0,14,,Pase de rastra,Enmienda,2025,2025-05-20 00:00:00+00,C01,L07 LOTE BOLIVAR,2025
01fa36cc,5bc82c91,8a4ab665,62.3,131.58,0.1,0.12,1,10,62.3,Eminente 45 WG,Agroquímicos,2025,2025-07-30 00:00:00+00,P03,L18 LOTE LA LAGUNA,2025
022d4b9b,4623f810,d19aa794,82.2,0,0.5,,2.75,5.5,29.89,Super Barre 55 EC,Agroquímicos,2025,2025-08-12 00:00:00+00,G01,L07 LOTE EL DRAGAL 1-1,2025
02408db9,513fd279,3072d084,513.37,970.65,1.5,1.5,35.7,23.8,14.38,Gadriano 30 OD,Agroquímicos,2025,2025-07-05 00:00:00+00,G02,L03 LOTE IGUANITAS,2025
024d9f31,6fac1fd9,aa72374c,368.92,534.76,3,2.5,42.6,14.2,8.66,Pendialfa 50 EC,Agroquímicos,2025,2025-05-11 00:00:00+00,P09,L08 LOTE SANTACRUZ II-LOTE 1,2025
0258eb21,d31e4f99,2a279588,105.34,140.46,0.045,0.06,0.59,13.1,178.7,MyCossed,Agroquímicos,2025,2025-06-16 00:00:00+00,G05,L04 LOTE LOCACIÓN A,2025
025d7513,41666276,cc210393,25.86,51.71,0.1,0.2,2.02,20.2,12.8,CatheClean,Agroquímicos,2025,2025-06-26 00:00:00+00,P11,L04 LOTE 7A,2025
02620c0c,aed4d998,bca12c05,148.02,0,0.25,0,4.4,17.6,33.64,Alfasystin,Agroquímicos,2025,2025-06-18 00:00:00+00,G01,L11 LOTE EL DRAGAL 4-1,2025
0262f9bb,4a130cc9,73a629e4,174.6,349.2,0.5,1,8.35,16.7,20.91,Jupiter 25 EC (piraclostrobina),Agroquímicos,2025,2025-06-19 00:00:00+00,G04,L01 LOTE CIRUELA ABAJO,2025
026a58bb,2756cc5d,ce31a1fd,5860.4,0,1.3,0,41.86,32.2,140,Maíz: Danac-430 c/fortenza duo,Semillas,2025,2025-07-10 00:00:00+00,G07,L04 LOTE VICTORIERO 1C,2025
0274754d,5d5724d9,3072d084,465.48,420.62,1.66,1.5,32.37,19.5,14.38,Gadriano 30 OD,Agroquímicos,2025,2025-08-10 00:00:00+00,G03,L03 LOTE ALFARERO D,2025
02b9d87c,0b363115,c2541310,2.21,97.11,0.1,0.3,0.13,1.31,16.86,Alfamilo 90SP,Agroquímicos,2025,2025-05-19 00:00:00+00,P09,L01 LOTE SANTACRUZ I-LOTE 1,2025
02c348aa,b7128a01,50ea012e,274.56,274.56,3,3,62.4,20.8,4.4,Alfasato 48 SL (glifosato),Agroquímicos,2025,2025-05-27 00:00:00+00,G04,L06 LOTE A,2025
02d01f1b,ff7d9a92,e1ff11f4,0,0,1,1,5.7,5.7,,Pase de rastra,Enmienda,2025,2025-05-26 00:00:00+00,G04,L04 LOTE LOMA BARRIGA,2025
02f79d91,6d2f1f7b,bca12c05,521.42,0,0.5,0,15.5,31,33.64,Alfasystin,Agroquímicos,2025,2025-07-15 00:00:00+00,P03,L03 LOTE LA CASA C,2025
