zona,mes,mes_label,estaciones_incluidas,lluvia_mm_promedio,lluvia_mm_minimo,lluvia_mm_maximo
Occidente,2024-04-01,2024-04,1,0,0,0
Occidente,2024-05-01,2024-05,1,185.2,185.2,185.2
Occidente,2024-06-01,2024-06,1,200.2,200.2,200.2
Occidente,2024-07-01,2024-07,1,219.4,219.4,219.4
Occidente,2024-08-01,2024-08,1,155,155,155
Occidente,2024-09-01,2024-09,1,218.6,218.6,218.6
Occidente,2024-10-01,2024-10,1,53.2,53.2,53.2
Occidente,2024-11-01,2024-11,1,41.2,41.2,41.2
Occidente,2024-12-01,2024-12,1,13,13,13
Occidente,2025-01-01,2025-01,1,2,2,2
Occidente,2025-02-01,2025-02,1,1.4,1.4,1.4
Occidente,2025-03-01,2025-03,1,8.4,8.4,8.4
Occidente,2025-04-01,2025-04,1,91.4,91.4,91.4
Occidente,2025-05-01,2025-05,4,215.05,16,417
Occidente,2025-06-01,2025-06,4,344.15,246,436
Occidente,2025-07-01,2025-07,4,333.45,218.8,438.4
Occidente,2025-08-01,2025-08,4,198.1,177.8,215.4
Occidente,2025-09-01,2025-09,4,155.05,112,234.2
Occidente,2025-10-01,2025-10,4,85.7,63.4,120.6
Occidente,2025-11-01,2025-11,4,30.05,16.8,48.4
Occidente,2025-12-01,2025-12,4,12.5,6.6,19.8
Occidente,2026-01-01,2026-01,4,3.2,1.4,7
Occidente,2026-02-01,2026-02,4,0.8,0,3.2
Occidente,2026-03-01,2026-03,4,8.3,2.4,15.6
Occidente,2026-04-01,2026-04,5,69.16,11.6,130.4
Occidente,2026-05-01,2026-05,16,62.49,0,172.8
Occidente,2026-06-01,2026-06,16,172.79,0,339.4
Occidente,2026-07-01,2026-07,16,249.24,81,377
Occidente,2026-08-01,2026-08,16,0.3,0,2
Oriente,2024-05-01,2024-05,3,119.63,44,167.1
Oriente,2024-06-01,2024-06,3,177.09,12.8,261.78
Oriente,2024-07-01,2024-07,3,250.49,115,325.8
Oriente,2024-08-01,2024-08,3,105.51,53,148.93
Oriente,2024-09-01,2024-09,3,108.87,33.4,148.8
Oriente,2024-10-01,2024-10,3,33.13,26.4,45.8
Oriente,2024-11-01,2024-11,3,34.73,0,84.2
Oriente,2024-12-01,2024-12,3,10.37,0,25.91
Oriente,2025-01-01,2025-01,3,26.17,0.2,69.3
Oriente,2025-02-01,2025-02,3,0,0,0
Oriente,2025-03-01,2025-03,3,0.07,0,0.2
Oriente,2025-04-01,2025-04,3,35.87,7,79.8
Oriente,2025-05-01,2025-05,5,112.95,3.4,263.8
Oriente,2025-06-01,2025-06,5,178.77,103.2,300.83
Oriente,2025-07-01,2025-07,5,262.49,144.6,393
Oriente,2025-08-01,2025-08,5,162.4,54,235.42
Oriente,2025-09-01,2025-09,5,99.73,14,162.8
Oriente,2025-10-01,2025-10,5,88.5,41,156.68
Oriente,2025-11-01,2025-11,5,71.17,3.2,136.4
Oriente,2025-12-01,2025-12,5,37.24,4,70
Oriente,2026-01-01,2026-01,5,19.88,0.4,43.39
Oriente,2026-02-01,2026-02,5,0,0,0
Oriente,2026-03-01,2026-03,5,5.06,0,16.4
Oriente,2026-04-01,2026-04,5,28.01,2.2,45.4
Oriente,2026-05-01,2026-05,10,81.22,8.4,266.61
Oriente,2026-06-01,2026-06,10,138.02,59.6,240.18
Oriente,2026-07-01,2026-07,11,97.41,0,171.4
Oriente,2026-08-01,2026-08,11,0,0,0
