lote,lote_id,latitude,longitude,station_id,codigo_estacion,unidad_produccion
Dugarte 3,628029e0-f3d7-4151-850e-680a3e0266b9,9.57732,-69.27581,236176,P19,Agropecuaria Dos Caminos
Dugarte 4,f39aa274-4a2b-4cfc-a09a-3435bf844bf1,9.57732,-69.27581,236176,P19,Agropecuaria Dos Caminos
Los Patos 1,f2d834fc-d53c-44f3-8591-be5a26ab4ef7,9.57732,-69.27581,236176,P19,Agropecuaria Dos Caminos
Los Patos 2,1ade474a-369e-4704-ae55-4953ba5db0de,9.57732,-69.27581,236176,P19,Agropecuaria Dos Caminos
Los Patos 3,70279d75-a867-48ca-b666-9a4a9d2ee3db,9.57732,-69.27581,236176,P19,Agropecuaria Dos Caminos
Bancales Viejos,0f3add10-cf21-480c-a677-31104cc89563,8.7266,-69.6746,235418,P18,Agropecuaria Juan Francisco C.A
Juan,4f0a29df-eb58-443e-a724-eb3553c69402,8.7266,-69.6746,235418,P18,Agropecuaria Juan Francisco C.A
La Ceiba,96fb3c6e-d2e2-42ea-a9d8-77917005073b,8.7266,-69.6746,235418,P18,Agropecuaria Juan Francisco C.A
La Montaña 1,39f1c564-a330-4e3b-b89e-4eb5cbe4a2dc,8.7266,-69.6746,235418,P18,Agropecuaria Juan Francisco C.A
La Montaña 2,2ebae9b8-0570-4b02-8177-93f406842bb9,8.7266,-69.6746,235418,P18,Agropecuaria Juan Francisco C.A
La Platanera,a5f04bce-193a-4bf6-bfde-ccc241dfa8a5,8.7266,-69.6746,235418,P18,Agropecuaria Juan Francisco C.A
La Rafaeleña,4cad224e-34fa-4ffe-9e88-17d8bbe2e614,8.7266,-69.6746,235418,P18,Agropecuaria Juan Francisco C.A
Rogelio Grande,3796c344-a2c1-4daa-8b68-da5fbea33fa9,8.7266,-69.6746,235418,P18,Agropecuaria Juan Francisco C.A
Rogelio Pequeño,05962cb2-bcd6-4100-8b01-03ea0cf5fd37,8.7266,-69.6746,235418,P18,Agropecuaria Juan Francisco C.A
Concha de Drago,18a8c969-22ce-4d01-aa82-465cb837f403,9.28491,-65.7433,238308,G09,Agropecuaria Mochuelo
Doña Mirian,69d96246-a21f-4c3e-975c-341d5882280f,9.28491,-65.7433,238308,G09,Agropecuaria Mochuelo
El Mamón 1,78f5eb8f-f2d3-41b8-9ca4-2afd8a00fc4d,9.28491,-65.7433,238308,G09,Agropecuaria Mochuelo
El Mamón 2,c68b9353-e9d8-44a9-a3d9-60daaa063bbf,9.28491,-65.7433,238308,G09,Agropecuaria Mochuelo
El Marbellero,1276e7c4-8ed6-4978-926b-4db023ae127b,9.28491,-65.7433,238308,G09,Agropecuaria Mochuelo
El Roble,32e47f93-3a7c-4883-8ebd-9f44a593bc3f,9.28491,-65.7433,238308,G09,Agropecuaria Mochuelo
El Ron 1,07be278b-cb82-4152-b073-c763876d4b0f,9.28491,-65.7433,238308,G09,Agropecuaria Mochuelo
