zona,mes,anio,historico,valor_real,n_estaciones_reportando,valor,es_pronostico,metodo_usado,factor_usado
Occidente,1,2026,2,3.2,4,3.2,False,ytd,0.702
Occidente,2,2026,1.4,0.8,4,0.8,False,ytd,0.702
Occidente,3,2026,8.4,8.3,4,8.3,False,ytd,0.702
Occidente,4,2026,91.4,83.55,4,83.55,False,ytd,0.702
Occidente,5,2026,186.075,143.75,4,143.75,False,ytd,0.702
Occidente,6,2026,336.1,184.30666666666667,15,184.30666666666667,False,ytd,0.702
Occidente,7,2026,333.525,249.2375,16,249.2375,False,ytd,0.702
Occidente,8,2026,191.45,,0,134.4,True,ytd,0.702
Occidente,9,2026,168.375,,0,118.2,True,ytd,0.702
Occidente,10,2026,84.425,,0,59.27,True,ytd,0.702
Occidente,11,2026,30.475,,0,21.39,True,ytd,0.702
Occidente,12,2026,13.225,,0,9.28,True,ytd,0.702
Oriente,1,2026,39.15,19.878,5,19.878,False,ytd,0.6596
Oriente,2,2026,0,0,5,0,False,ytd,0.6596
Oriente,3,2026,0.06666666666666667,5.056,5,5.056,False,ytd,0.6596
Oriente,4,2026,35.873333333333335,28.008,5,28.008,False,ytd,0.6596
Oriente,5,2026,148.55333333333334,138.642,5,138.642,False,ytd,0.6596
Oriente,6,2026,174.609,138.018,10,138.018,False,ytd,0.6596
Oriente,7,2026,263.89,107.146,10,107.146,False,ytd,0.6596
Oriente,8,2026,135.155,,0,89.15,True,ytd,0.6596
Oriente,9,2026,100.205,,0,66.1,True,ytd,0.6596
Oriente,10,2026,70.108,,0,46.24,True,ytd,0.6596
Oriente,11,2026,67.628,,0,44.61,True,ytd,0.6596
Oriente,12,2026,28.911,,0,19.07,True,ytd,0.6596
