station_id,fecha_hora_dia,temp_c,temp_max_c,temp_min_c,hum_pct,hum_max_pct,hum_min_pct,lluvia_mm,tasa_lluvia_mm_h,radiacion_w_m2,radiacion_max_w_m2,viento_avg_kmh,viento_max_kmh,dir_viento,punto_rocio_c,barometro_inhg,et_mm,ts,fecha_hora,n_lecturas
184921,2026-06-10,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,1781123400,2026-06-10 20:30:00,3
184921,2026-06-19,,,,,,,0.0,0.0,397.43,879.0,4.91,14.5,12.71,,,1.29,1781902800,2026-06-19 21:00:00,14
184921,2026-07-05,30.09,30.9,28.4,75.31,,,0.0,0.0,466.18,1009.0,4.0,17.7,3.71,25.29,29.94,3.48,1783295100,2026-07-05 23:45:00,34
184921,2026-07-06,27.44,29.4,25.3,82.91,,,9.2,2.96,333.86,1072.0,6.47,25.7,2.95,24.27,29.94,3.0,1783381500,2026-07-06 23:45:00,43
184921,2026-07-07,25.94,29.1,24.5,84.94,,,5.6,1.34,141.03,1049.0,1.95,22.5,8.29,23.2,29.97,2.64,1783467900,2026-07-07 23:45:00,96
184921,2026-07-08,26.1,28.3,24.7,85.96,,,13.6,1.97,100.58,629.0,1.7,20.9,4.75,23.55,29.94,1.91,1783554300,2026-07-08 23:45:00,96
184921,2026-07-09,26.22,28.3,24.6,85.29,,,10.0,1.83,157.67,1051.0,3.13,20.9,6.89,23.55,29.94,2.92,1783640700,2026-07-09 23:45:00,95
184921,2026-07-10,26.68,30.8,23.9,82.94,,,0.0,0.0,162.76,1013.0,1.55,16.1,7.71,23.52,29.93,3.18,1783727100,2026-07-10 23:45:00,96
184921,2026-07-11,27.33,32.8,23.8,79.8,,,19.8,3.21,207.94,886.0,2.02,29.0,8.18,23.47,29.91,3.83,1783813500,2026-07-11 23:45:00,96
184921,2026-07-12,27.01,31.0,24.0,80.92,,,0.2,0.07,178.94,932.0,1.69,16.1,7.77,23.4,29.94,3.08,1783899900,2026-07-12 23:45:00,87
184921,2026-07-13,27.71,30.2,22.8,77.88,,,30.4,6.42,263.06,1176.0,3.3,43.5,6.57,23.47,29.96,2.75,1783986300,2026-07-13 23:45:00,51
184921,2026-07-14,27.63,31.2,24.3,80.17,,,0.0,0.0,252.62,1016.0,2.79,17.7,5.8,23.87,29.95,4.1,1784072700,2026-07-14 23:45:00,81
184921,2026-07-15,29.07,31.7,25.6,75.97,,,0.0,0.0,310.9,1020.0,2.47,22.5,4.79,24.37,29.93,4.34,1784159100,2026-07-15 23:45:00,68
184921,2026-07-16,29.67,31.3,26.6,74.35,,,0.0,0.0,351.59,1076.0,3.85,17.7,3.6,24.6,29.93,3.9,1784245500,2026-07-16 23:45:00,54
184921,2026-07-17,30.42,32.4,27.1,72.64,,,0.0,0.0,221.87,956.0,1.31,12.9,4.67,24.92,29.9,2.14,1784331900,2026-07-17 23:45:00,39
184921,2026-07-18,30.6,30.8,30.3,69.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,24.2,29.87,0.0,1784332800,2026-07-18 00:00:00,1
184921,2026-07-21,29.5,30.7,26.7,78.71,,,0.0,0.0,432.45,1020.0,2.59,14.5,4.86,25.38,29.88,3.68,1784677500,2026-07-21 23:45:00,42
184921,2026-07-22,27.18,30.8,23.9,79.38,,,0.0,0.0,219.86,944.0,2.23,16.1,6.35,23.25,29.86,4.21,1784763900,2026-07-22 23:45:00,96
184921,2026-07-23,26.43,29.6,23.1,81.94,,,20.6,3.29,146.44,854.0,2.39,22.5,7.17,23.07,29.91,2.76,1784850300,2026-07-23 23:45:00,96
184921,2026-07-24,27.73,32.9,24.3,79.42,,,0.0,0.0,229.33,1102.0,2.05,17.7,7.56,23.78,29.91,4.43,1784936700,2026-07-24 23:45:00,96
184921,2026-07-25,27.19,31.7,24.4,79.56,,,6.0,1.13,200.77,1037.0,3.17,24.1,9.33,23.33,29.94,3.88,1785023100,2026-07-25 23:45:00,96
184921,2026-07-26,25.65,29.8,22.0,83.94,,,49.0,4.8,128.32,1114.0,3.34,41.8,6.35,22.73,29.96,2.59,1785109500,2026-07-26 23:45:00,96
184921,2026-07-27,24.83,30.7,21.8,84.64,,,0.4,0.0,200.57,963.0,1.47,12.9,7.39,22.01,29.94,3.2,1785195900,2026-07-27 23:45:00,89
184921,2026-07-28,27.75,32.4,24.2,78.59,,,0.0,0.0,219.32,1016.0,1.35,14.5,6.47,23.63,29.91,4.17,1785282300,2026-07-28 23:45:00,96
184921,2026-07-29,26.39,31.1,24.3,82.73,,,44.6,5.55,108.03,622.0,2.83,29.0,8.82,23.19,29.91,1.95,1785368700,2026-07-29 23:45:00,96
184921,2026-07-30,27.28,31.8,23.7,81.75,,,12.2,2.21,251.41,1056.0,1.92,25.7,7.57,23.81,29.92,4.64,1785455100,2026-07-30 23:45:00,96
184921,2026-07-31,25.7,30.1,23.4,83.21,,,40.2,6.38,137.51,979.0,4.31,27.4,7.89,22.62,29.94,2.65,1785541500,2026-07-31 23:45:00,96
184921,2026-08-01,25.0,25.1,24.9,84.0,,,0.2,0.0,247.15,1013.0,2.22,19.3,5.74,22.1,29.93,4.65,1785627900,2026-08-01 23:45:00,96
184921,2026-08-02,28.18,32.2,24.4,77.43,,,0.0,0.0,307.72,921.0,2.65,19.3,6.84,23.8,29.92,4.78,1785708000,2026-08-02 22:00:00,78
184965,2026-05-05,,,,,,,0.0,0.0,123.27,513.0,3.31,17.7,4.77,,,0.56,1778024700,2026-05-05 23:45:00,15
184965,2026-05-06,,,,,,,0.0,0.0,319.76,951.0,5.35,29.0,6.63,,,5.01,1778111100,2026-05-06 23:45:00,64
184965,2026-05-07,,,,,,,0.0,0.0,338.6,918.0,5.77,33.8,5.03,,,4.67,1778197500,2026-05-07 23:45:00,58
184965,2026-05-08,,,,,,,0.0,0.0,258.39,884.0,2.08,17.7,10.29,,,3.44,1778269500,2026-05-08 19:45:00,80
184965,2026-05-09,,,,,,,0.0,0.0,401.92,742.0,4.8,19.3,4.85,,,1.16,1778361300,2026-05-09 21:15:00,13
184965,2026-05-10,,,,,,,0.0,0.0,298.58,886.0,5.58,29.0,3.77,,,3.4,1778454000,2026-05-10 23:00:00,44
184965,2026-05-11,,,,,,,0.0,0.0,426.29,905.0,4.68,27.4,7.04,,,4.84,1778543100,2026-05-11 23:45:00,49
184965,2026-05-12,,,,,,,0.0,0.0,0.0,0.0,0.64,8.0,10.2,,,0.06,1778547600,2026-05-12 01:00:00,5
184965,2026-05-14,,,,,,,0.2,0.0,286.23,1072.0,8.04,25.7,4.07,,,3.25,1778802300,2026-05-14 23:45:00,47
184965,2026-05-15,,,,,,,0.0,0.0,254.46,956.0,4.31,32.2,4.17,,,4.92,1778888700,2026-05-15 23:45:00,96
184965,2026-05-16,,,,,,,0.0,0.0,236.08,1023.0,3.02,25.7,7.77,,,4.18,1778975100,2026-05-16 23:45:00,96
184965,2026-05-17,,,,,,,58.6,6.7,148.37,698.0,2.99,49.9,8.0,,,2.43,1779061500,2026-05-17 23:45:00,96
184965,2026-05-18,,,,,,,0.0,0.0,237.25,895.0,2.08,17.7,8.3,,,3.87,1779147900,2026-05-18 23:45:00,96
184965,2026-05-19,,,,,,,0.0,0.0,173.97,786.0,2.69,22.5,7.7,,,3.13,1779234300,2026-05-19 23:45:00,96
184965,2026-05-20,,,,,,,0.0,0.0,167.3,919.0,3.93,22.5,7.17,,,3.02,1779320700,2026-05-20 23:45:00,96
184965,2026-05-21,,,,,,,0.0,0.0,148.35,983.0,3.01,25.7,6.72,,,2.44,1779407100,2026-05-21 23:45:00,96
184965,2026-05-22,,,,,,,2.8,0.47,144.66,1065.0,2.24,20.9,4.37,,,2.18,1779493500,2026-05-22 23:45:00,96
184965,2026-05-23,,,,,,,0.0,0.0,40.66,353.0,0.83,14.5,7.33,,,0.18,1779564600,2026-05-23 19:30:00,29
184965,2026-05-24,,,,,,,0.0,0.0,390.67,1028.0,5.44,32.2,4.1,,,3.95,1779666300,2026-05-24 23:45:00,52
184965,2026-05-25,,,,,,,3.4,0.55,138.32,907.0,1.3,19.3,9.32,,,2.09,1779752700,2026-05-25 23:45:00,96
184965,2026-05-26,,,,,,,1.4,0.12,273.2,993.0,4.44,30.6,5.33,,,4.41,1779839100,2026-05-26 23:45:00,96
184965,2026-05-27,,,,,,,1.0,0.09,174.65,856.0,2.47,32.2,8.84,,,2.92,1779925500,2026-05-27 23:45:00,96
184965,2026-05-28,,,,,,,0.0,0.0,130.38,603.0,2.47,19.3,8.96,,,2.07,1780011900,2026-05-28 23:45:00,96
184965,2026-05-29,,,,,,,0.6,0.12,247.9,898.0,3.24,24.1,6.94,,,4.17,1780098300,2026-05-29 23:45:00,96
184965,2026-05-30,,,,,,,0.2,0.0,208.14,1053.0,1.72,24.1,6.95,,,3.58,1780184700,2026-05-30 23:45:00,96
184965,2026-05-31,,,,,,,23.0,2.64,223.63,912.0,2.37,59.5,6.16,,,3.57,1780271100,2026-05-31 23:45:00,96
184965,2026-06-01,,,,,,,0.0,0.0,212.89,1035.0,2.35,22.5,6.02,,,3.54,1780357500,2026-06-01 23:45:00,96
184965,2026-06-02,,,,,,,10.6,2.26,160.67,967.0,3.75,37.0,5.13,,,2.6,1780443900,2026-06-02 23:45:00,96
184965,2026-06-03,,,,,,,4.2,0.23,116.49,538.0,2.26,25.7,5.48,,,1.79,1780530300,2026-06-03 23:45:00,96
184965,2026-06-04,,,,,,,5.2,0.59,173.0,552.0,4.55,24.1,5.24,,,1.62,1780616700,2026-06-04 23:45:00,48
184965,2026-06-05,,,,,,,23.4,2.36,119.44,638.0,1.68,16.1,4.19,,,1.78,1780703100,2026-06-05 23:45:00,96
184965,2026-06-06,,,,,,,0.0,0.0,240.32,1069.0,1.33,12.9,7.7,,,3.82,1780789500,2026-06-06 23:45:00,96
184965,2026-06-07,,,,,,,15.2,1.91,112.68,624.0,1.45,41.8,8.37,,,1.6,1780875900,2026-06-07 23:45:00,96
184965,2026-06-08,,,,,,,7.8,2.81,199.6,963.0,2.17,19.3,6.04,,,3.13,1780962300,2026-06-08 23:45:00,96
184965,2026-06-09,,,,,,,0.0,0.0,273.67,983.0,1.68,14.5,7.62,,,4.42,1781048700,2026-06-09 23:45:00,96
184965,2026-06-10,,,,,,,0.0,0.0,242.73,1005.0,2.25,19.3,7.78,,,3.93,1781135100,2026-06-10 23:45:00,96
