codigo,station_name,lugar,city,region,country,latitude,longitude,elevation_m,station_id,station_id_uuid,product_number,active,finca_agroven_cercana,dist_km
B01,B01-Saturno-La Campesina,Saturno-La Campesina,Caño Hondo,Barinas,Venezuela,8.66616,-69.994255,472.5,235263,7cad6faa-bf13-4c18-8922-f687f5d09080,6100,True,Ezequiel Fontiveros,125.7
C01,C01-Las Majaguas-Saturno,Las Majaguas,Quebrada Honda,Portuguesa,Venezuela,9.61,-68.96979,479.8,212761,582b9e60-9d9b-4fdd-b169-2a8af7874d44,6803A,True,Ezequiel Fontiveros,30.2
EXPG01,EXPG01 - Mahomito - Saturno,Mahomito,Jácome Arriba,Guárico,Venezuela,9.148761,-66.09765,553.4,218876,2beb7641-8500-44bb-a9ac-189d3a25020b,6100,True,Pedro Solano,21.9
EXPP02,EXPP02-Parcela 392-Saturno,Parcela 392,El Aji,Portuguesa,Venezuela,9.168804,-69.04817,340.1,217861,3a12deb5-8bfb-48e4-b734-93948880c9fc,6100,True,Antonio Pestana,18.9
EXPP1,EXPP1-La Diluccia,La Diluccia,Villa Bruzual,Portuguesa,Venezuela,9.326978,-69.14307,438.0,216784,09376363-9760-46be-91a9-1d1322c1915b,6100,True,Ezequiel Fontiveros,21.1
EXPY02,EXPY02-La Vega-Saturno,La Vega,Sabana de Parra,Yaracuy,Venezuela,10.095456,-69.03054,1121.1,218046,c95da6b4-6aaf-43f2-aac9-cb20694bfb4c,6100,True,Ezequiel Fontiveros,69.4
G01,G01-San Geronimo - Saturno,San Geronimo,Camacho,Guárico,Venezuela,9.16992,-65.75194,428.5,185450,184719b0-318a-42a1-94e7-f758a89b2ba0,6803A,True,Giusfelys Ricca,2.4
G02,G02-Los Espinitos-Saturno,Los Espinitos,Agua Blanca,Guárico,Venezuela,8.99576,-65.51944,351.6,186669,eb3a29e8-8783-49bd-a896-b2bffd12c5ed,6100,True,Charlys Solano,9.3
G03,G03-Memo-Saturno,Memo,Memo,Aragua,Venezuela,9.41514,-66.64495,606.1,186361,a333eaf8-7700-4b43-8d9b-872bcdc7fdc0,6100,True,Celso Fantinel,25.1
G04,G04-Las Mercedes-Saturno,Las Mercedes,Rosario,Guárico,Venezuela,9.28141,-66.45505,624.7,186730,820b7324-c02a-413f-ad7a-df53757e4c92,6100,True,Manuel Gonzalez,16.1
